1777705837.660940494	10.10.0.106	104.18.32.47	54420	443	9788
1777705837.661040175	10.10.0.106	104.18.32.47	54420	443	1592
1777705837.661198003	10.10.0.106	104.18.32.47	54420	443	9788
1777705837.661377747	104.18.32.47	10.10.0.106	443	54420	66
1777705837.661377870	104.18.32.47	10.10.0.106	443	54420	66
1777705837.661518493	104.18.32.47	10.10.0.106	443	54420	66
1777705837.661522133	10.10.0.106	104.18.32.47	54420	443	1564
1777705837.661807765	104.18.32.47	10.10.0.106	443	54420	66
1777705837.661807801	104.18.32.47	10.10.0.106	443	54420	66
1777705837.662068899	104.18.32.47	10.10.0.106	443	54420	66
1777705837.662068937	104.18.32.47	10.10.0.106	443	54420	66
1777705837.662068979	104.18.32.47	10.10.0.106	443	54420	66
1777705837.662331813	104.18.32.47	10.10.0.106	443	54420	66
1777705837.662538537	104.18.32.47	10.10.0.106	443	54420	66
1777705837.662808822	104.18.32.47	10.10.0.106	443	54420	66
1777705837.662898906	104.18.32.47	10.10.0.106	443	54420	66
1777705837.663001327	104.18.32.47	10.10.0.106	443	54420	66
1777705837.666036165	10.10.0.106	104.18.32.47	54420	443	10860
1777705837.666158034	10.10.0.106	104.18.32.47	54420	443	285
1777705837.666522018	104.18.32.47	10.10.0.106	443	54420	66
1777705837.666698910	104.18.32.47	10.10.0.106	443	54420	66
1777705837.666915921	104.18.32.47	10.10.0.106	443	54420	66
1777705837.667096996	104.18.32.47	10.10.0.106	443	54420	66
1777705837.667194053	104.18.32.47	10.10.0.106	443	54420	66
1777705837.667654223	10.10.0.106	104.18.32.47	54420	443	9788
1777705837.667774994	10.10.0.106	104.18.32.47	54420	443	1615
1777705837.667811124	10.10.0.106	104.18.32.47	54420	443	9788
1777705837.667847019	10.10.0.106	104.18.32.47	54420	443	1619
1777705837.668138881	104.18.32.47	10.10.0.106	443	54420	66
1777705837.668285328	104.18.32.47	10.10.0.106	443	54420	66
1777705837.668581895	104.18.32.47	10.10.0.106	443	54420	66
1777705837.668861060	104.18.32.47	10.10.0.106	443	54420	66
1777705837.668861093	104.18.32.47	10.10.0.106	443	54420	66
1777705837.669160642	104.18.32.47	10.10.0.106	443	54420	66
1777705837.669422538	104.18.32.47	10.10.0.106	443	54420	66
1777705837.669715932	104.18.32.47	10.10.0.106	443	54420	66
1777705837.669715966	104.18.32.47	10.10.0.106	443	54420	66
1777705837.669716000	104.18.32.47	10.10.0.106	443	54420	66
1777705837.830169340	104.18.32.47	10.10.0.106	443	54420	460
1777705837.830169634	104.18.32.47	10.10.0.106	443	54420	113
1777705837.830169792	104.18.32.47	10.10.0.106	443	54420	97
1777705837.830343983	10.10.0.106	104.18.32.47	54420	443	66
1777705837.834439356	10.10.0.106	104.18.32.47	54420	443	101
1777705837.834690843	104.18.32.47	10.10.0.106	443	54420	66
1777705837.858007481	104.18.32.47	10.10.0.106	443	54420	424
1777705837.858007984	104.18.32.47	10.10.0.106	443	54420	97
1777705837.858212631	10.10.0.106	104.18.32.47	54420	443	66
1777705837.859636036	104.18.32.47	10.10.0.106	443	54420	356
1777705837.859636436	104.18.32.47	10.10.0.106	443	54420	113
1777705837.859636590	104.18.32.47	10.10.0.106	443	54420	97
1777705837.862803553	10.10.0.106	104.18.32.47	54420	443	66
1777705837.870007476	104.18.32.47	10.10.0.106	443	54420	447
1777705837.870061702	104.18.32.47	10.10.0.106	443	54420	415
1777705837.870061964	104.18.32.47	10.10.0.106	443	54420	97
1777705837.870155910	10.10.0.106	104.18.32.47	54420	443	66
1777705837.881471298	104.18.32.47	10.10.0.106	443	54420	360
1777705837.881471624	104.18.32.47	10.10.0.106	443	54420	113
1777705837.881530874	104.18.32.47	10.10.0.106	443	54420	97
1777705837.881595060	10.10.0.106	104.18.32.47	54420	443	66
1777705838.068772244	10.10.0.106	52.123.176.59	45608	443	115
1777705838.112501411	52.123.176.59	10.10.0.106	443	45608	104
1777705838.112541868	10.10.0.106	52.123.176.59	45608	443	66
1777705838.451129447	104.18.32.47	10.10.0.106	443	54420	389
1777705838.451129857	104.18.32.47	10.10.0.106	443	54420	425
1777705838.451130011	104.18.32.47	10.10.0.106	443	54420	97
1777705838.451344927	10.10.0.106	104.18.32.47	54420	443	66
1777705838.500318100	10.10.0.106	172.64.144.52	57674	443	381
1777705838.500369717	10.10.0.106	172.64.144.52	57674	443	105
1777705838.500524123	172.64.144.52	10.10.0.106	443	57674	66
1777705838.505120226	10.10.0.106	104.18.32.47	54420	443	7306
1777705838.505134200	10.10.0.106	104.18.32.47	54420	443	2548
1777705838.505237166	10.10.0.106	104.18.32.47	54420	443	1670
1777705838.505392106	10.10.0.106	104.18.32.47	54420	443	1514
1777705838.505615962	104.18.32.47	10.10.0.106	443	54420	66
1777705838.505630390	10.10.0.106	104.18.32.47	54420	443	5858
